,Invertebrates,Pacific_Herring,Small_Planktivorous_Fish,Chinook_Hatch_Adult,Chinook_Wild_Adult,Coho_Hatch_Adult,Coho_Wild_Adult,Chum_Adult,Sockeye_Adult,Chinook_Hatch_Resident,Chinook_Wild_Resident,Coho_Hatch_Resident,Coho_Wild_Resident,Hake,Lingcod,Rockfish,Halibut,Harbor_seals,California_sealions,Steller_sealions,Harbor_porpoise,Resident_Orca_S,Resident_Orca_N,Transient_Orca
Invertebrates,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific_Herring,0.96,0.96,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Small_Planktivorous_Fish,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Chinook_Hatch_Adult,0.42,0.33,0.33,0,0,0,0,0,0,0.42,0.42,0.42,0.42,0,0,0,0,0,0,0,0,0,0,0
Chinook_Wild_Adult,0.42,0.63,0.33,0,0,0,0,0,0,0.58,0.58,0.58,0.58,0,0,0,0,0,0,0,0,0,0,0
Coho_Hatch_Adult,0.33,0.29,0.42,0,0,0,0,0,0,0.33,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0
Coho_Wild_Adult,0.33,0.63,0.42,0,0,0,0,0,0,0.67,0.67,0.67,0.67,0,0,0,0,0,0,0,0,0,0,0
Chum_Adult,0.58,0.54,0.58,0,0,0,0,0,0,0.58,0.58,0.58,0.58,0,0,0,0,0,0,0,0,0,0,0
Sockeye_Adult,0.33,0.33,0.33,0,0,0,0,0,0,0.33,0.33,0.33,0.33,0,0,0,0,0,0,0,0,0,0,0
Chinook_Hatch_Resident,1,0.96,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Chinook_Wild_Resident,1,0.96,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Coho_Hatch_Resident,1,0.96,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Coho_Wild_Resident,1,0.96,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Hake,1,0.96,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lingcod,1,0.96,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Rockfish,1,0.96,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Halibut,1,0.96,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Harbor_seals,1,0.96,1,0.42,0.58,0.33,0.33,0.58,0.33,1,1,1,1,1,1,0.1,0,0,0,0,0,0,0,0
California_sealions,0.75,0.75,0.75,0.42,0.33,0.33,0.33,0.58,0.33,0.75,0.75,0.75,0.75,0.75,0,0.1,0,0,0,0,0,0,0,0
Steller_sealions,1,0.96,1,0.42,0.33,0.33,0.33,0.58,0.33,1,1,1,1,1,0,0.1,0,0,0,0,0,0,0,0
Harbor_porpoise,1,0.96,1,0,0,0.33,0.33,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Resident_Orca_S,0,0.1,0,0.71,0.71,0.71,0.71,0.58,0.33,0.67,0.67,0.33,0.33,0,0.1,0,0.8,0,0,0,0,0,0,0
Resident_Orca_N,0,0.1,0,0.63,0.63,0.63,0.63,0.58,0.33,0.67,0.67,0.33,0.33,0,0.1,0,0,0,0,0,0,0,0,0
Transient_Orca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.33,0.67,0.67,0,0,0